project,task_name,source,target
hr-标签平台,meta_RB03001,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB03002,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB03003,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB03004,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB04001,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB04002,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB04003,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB04004,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB05004,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB05005,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB05006,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB05008,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB06001,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB06002,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB06003,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB06004,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB07001,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB07002,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB07003,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB07004,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB07005,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB07006,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB07007,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB07008,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB07009,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB07010,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB07011,ads.ads_user_tag_detail,ads.ads_tag_metadata
